p1,p2,probability,stk on start,stk on destination,prj on start,prj on destination,risk on start,risk on destination
"Method, CONCLUSIONS, National Safety Council",Elsevier Ltd.,0.98989898989899,3,1,0,0,0,0
"Method, CONCLUSIONS, Elsevier Ltd.",National Safety Council,0.7686274509803922,3,1,0,0,0,0
"CONCLUSIONS, National Safety Council, Elsevier Ltd.",Method,0.6363636363636364,3,1,0,0,0,0
"CONCLUSIONS, National Safety Council","Elsevier Ltd., ON",0.7929936305732485,2,2,0,0,0,0
"CONCLUSIONS, National Safety Council, ON",Elsevier Ltd.,0.976470588235294,3,1,0,0,0,0
"CONCLUSIONS, National Safety Council",Elsevier Ltd.,0.9808917197452228,2,1,0,0,0,0
National Safety Council,Safety,0.5140758873929009,1,1,0,0,0,0
"Safety, National Safety Council",Method,0.7095238095238096,2,1,0,0,0,0
"Method, National Safety Council",Safety,0.5549348230912476,2,1,0,0,0,0
"Safety, National Safety Council","Method, ON",0.6142857142857143,2,2,0,0,0,0
"Safety, National Safety Council, ON",Method,0.7186629526462396,3,1,0,0,0,0
"Method, National Safety Council, ON",Safety,0.567032967032967,3,1,0,0,0,0
"Safety, National Safety Council","Method, Elsevier Ltd., ON",0.5619047619047619,2,3,0,0,0,0
"Safety, National Safety Council, Method","Elsevier Ltd., ON",0.7919463087248322,3,2,0,0,0,0
"Safety, National Safety Council, Elsevier Ltd.","Method, ON",0.6276595744680851,3,2,0,0,0,0
"Safety, National Safety Council, ON","Method, Elsevier Ltd.",0.6573816155988857,3,2,0,0,0,0
"Method, National Safety Council, ON","Safety, Elsevier Ltd.",0.5186813186813187,3,2,0,0,0,0
"Safety, ON, National Safety Council, Method",Elsevier Ltd.,0.9147286821705426,4,1,0,0,0,0
"Safety, National Safety Council, Elsevier Ltd., ON",Method,0.735202492211838,4,1,0,0,0,0
"Method, National Safety Council, Elsevier Ltd., ON",Safety,0.5784313725490197,4,1,0,0,0,0
"Safety, National Safety Council","Method, Elsevier Ltd.",0.65,2,2,0,0,0,0
"Method, National Safety Council","Safety, Elsevier Ltd.",0.5083798882681564,2,2,0,0,0,0
"Safety, National Safety Council, Elsevier Ltd.",Method,0.726063829787234,3,1,0,0,0,0
"Safety, National Safety Council, Method",Elsevier Ltd.,0.9161073825503356,3,1,0,0,0,0
"Method, National Safety Council, Elsevier Ltd.",Safety,0.5605749486652978,3,1,0,0,0,0
"National Safety Council, ON",Safety,0.5358208955223881,2,1,0,0,0,0
"Safety, National Safety Council","Elsevier Ltd., ON",0.7642857142857142,2,2,0,0,0,0
"Safety, National Safety Council, ON",Elsevier Ltd.,0.8941504178272981,3,1,0,0,0,0
"National Safety Council, Elsevier Ltd., ON",Safety,0.5506003430531733,3,1,0,0,0,0
"Safety, National Safety Council",Elsevier Ltd.,0.8952380952380953,2,1,0,0,0,0
"National Safety Council, Elsevier Ltd.",Safety,0.5310734463276836,2,1,0,0,0,0
National Safety Council,Method,0.6572827417380661,1,1,0,0,0,0
National Safety Council,"Method, ON",0.5569155446756426,1,2,0,0,0,0
"National Safety Council, ON",Method,0.6791044776119403,2,1,0,0,0,0
"Method, National Safety Council","Elsevier Ltd., ON",0.7597765363128491,2,2,0,0,0,0
"National Safety Council, Elsevier Ltd.","Method, ON",0.576271186440678,2,2,0,0,0,0
"National Safety Council, ON","Method, Elsevier Ltd.",0.608955223880597,2,2,0,0,0,0
"Method, National Safety Council, ON",Elsevier Ltd.,0.8967032967032967,3,1,0,0,0,0
"National Safety Council, Elsevier Ltd., ON",Method,0.6998284734133791,3,1,0,0,0,0
National Safety Council,"Method, Elsevier Ltd.",0.5960832313341493,1,2,0,0,0,0
"Method, National Safety Council",Elsevier Ltd.,0.9068901303538176,2,1,0,0,0,0
"National Safety Council, Elsevier Ltd.",Method,0.6878531073446328,2,1,0,0,0,0
National Safety Council,"Elsevier Ltd., ON",0.7135862913096696,1,2,0,0,0,0
"National Safety Council, ON",Elsevier Ltd.,0.8701492537313433,2,1,0,0,0,0
National Safety Council,Elsevier Ltd.,0.8665850673194615,1,1,0,0,0,0
"Of project, Research, ON",Management,0.5145228215767634,2,1,1,0,0,0
"The project, Of project",Management,0.5401929260450161,0,1,2,0,0,0
"The project, Of project, ON",Management,0.5643153526970954,1,1,2,0,0,0
"The risk, AHP",Method,0.5668016194331984,1,1,0,0,1,0
AHP,Method,0.5357575757575758,1,1,0,0,0,0
"AHP, ON",Method,0.5473856209150327,2,1,0,0,0,0
"MN, Health risk",CU,0.7378048780487805,1,1,0,0,1,0
"MN, Health risk",PB,0.7682926829268293,1,1,0,0,1,0
"MN, AL",CU,0.7590361445783133,2,1,0,0,0,0
"AL, CU",MN,0.5915492957746479,2,1,0,0,0,0
"MN, MG",PB,0.684,2,1,0,0,0,0
"MN, MG","PB, CU",0.596,2,2,0,0,0,0
"MN, MG, CU",PB,0.8097826086956522,3,1,0,0,0,0
"MN, MG, PB",CU,0.8713450292397661,3,1,0,0,0,0
"MN, MG",CU,0.736,2,1,0,0,0,0
"MN, ON",PB,0.584,2,1,0,0,0,0
"MN, CU, ON",PB,0.7714285714285715,3,1,0,0,0,0
